,,,,,
Name,Ticker,Price,Dividend Payment,Dividend Yield,Sector
Apple Inc.,AAPL,270.37,1.02,0.38%,Technology
Realty Income Corporation,O,57.98,3.187,5.58%,Real Estate
Johnson & Johnson,JNJ,188.87,5.08,2.75%,Healthcare
Canadian Natural Resources Limited,CNQ,32.02,2.788,5.26%,Energy
"PepsiCo, Inc.",PEP,146.09,5.555,3.89%,Consumer Defensive
The Procter & Gamble Company,PG,150.37,4.127,2.81%,Consumer Defensive
"LTC Properties, Inc.",LTC,35.08,2.28,6.50%,Real Estate
McDonald's Corporation,MCD,298.43,6.98,2.49%,Consumer Cyclical
JPMorgan Chase & Co.,JPM,311.12,5.55,1.93%,Financial Services
The Coca-Cola Company,KO,68.9,2.015,2.96%,Consumer Defensive
Mastercard Incorporated,MA,551.99,3.04,0.55%,Financial Services
International Business Machines Corporation,IBM,307.41,6.7,2.19%,Technology
"Cardinal Health, Inc.",CAH,190.77,2.033,1.07%,Healthcare
General Dynamics Corporation,GD,344.9,5.92,1.74%,Industrials
Royal Bank of Canada,RY,146.5,5.92,3.00%,Financial Services
Bank of Montreal,BMO,124.18,6.36,3.77%,Financial Services
Microsoft Corporation,MSFT,517.81,3.4,0.70%,Technology
The Bank of Nova Scotia,BNS,65.6,4.28,4.81%,Financial Services
Chubb Limited,CB,276.94,3.76,1.40%,Financial Services
"Lowe's Companies, Inc.",LOW,238.13,4.65,2.02%,Consumer Cyclical
Sysco Corporation,SYY,74.28,2.1,2.91%,Consumer Defensive
Illinois Tool Works Inc.,ITW,243.92,6.11,2.64%,Industrials
Walmart Inc.,WMT,101.18,0.885,0.93%,Consumer Defensive
Kimberly-Clark Corporation,KMB,119.71,5,4.21%,Consumer Defensive
"BlackRock, Inc.",BLK,1082.81,20.73,1.92%,Financial Services
Main Street Capital Corporation,MAIN,56.92,2.97,7.48%,Financial Services
"Automatic Data Processing, Inc.",ADP,260.3,6.16,2.37%,Technology
Starbucks Corporation,SBUX,80.87,2.44,3.07%,Consumer Cyclical
Ecolab Inc.,ECL,256.4,2.6,1.01%,Basic Materials
Chevron Corporation,CVX,157.72,6.76,4.34%,Energy
SLB N.V.,SLB,36.06,1.13,3.16%,Energy
Duke Energy Corporation,DUK,124.3,4.18,3.43%,Utilities
AGNC Investment Corp.,AGNC,10,1.44,14.39%,Real Estate
"STAG Industrial, Inc.",STAG,38.27,1.487,3.89%,Real Estate
Aflac Incorporated,AFL,107.19,2.16,2.16%,Financial Services
"PPG Industries, Inc.",PPG,97.75,2.75,2.91%,Basic Materials
Pentair plc,PNR,106.35,0.98,0.94%,Industrials
Nucor Corporation,NUE,150.05,2.2,1.47%,Basic Materials
Emerson Electric Co.,EMR,139.57,2.108,1.51%,Industrials
Citigroup Inc.,C,101.23,2.28,2.37%,Financial Services
"T. Rowe Price Group, Inc.",TROW,102.53,5.05,4.95%,Financial Services
"Royal Gold, Inc.",RGLD,174.79,0.6,1.03%,Basic Materials
The Toronto-Dominion Bank,TD,82.13,4.17,3.65%,Financial Services
"Cisco Systems, Inc.",CSCO,73.11,1.62,2.24%,Technology
Bristol-Myers Squibb Company,BMY,46.07,2.48,5.38%,Healthcare
Gladstone Commercial Corporation,GOOD,11.43,1.2,10.50%,Real Estate
"W.W. Grainger, Inc.",GWW,979,8.62,0.92%,Industrials
Agree Realty Corporation,ADC,73.01,3.054,4.31%,Real Estate
"Roper Technologies, Inc.",ROP,446.15,3.3,0.74%,Technology
The Sherwin-Williams Company,SHW,344.94,3.085,0.92%,Basic Materials
,,,,,
,,,,,
,,,,Technology,6
,,,,Basic Materials,5
,,,,Real Estate,6
,,,,Financial Services,12
,,,,Consumer Defensive,6
,,,,Consumer Cyclical,3
,,,,Healthcare,3
,,,,Energy,3
,,,,Communication Services,0
,,,,Utilities,1
,,,,Industrials,5