,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
1,ADP,BMY,AFL,ADP,,AFL,ADP,BMY,AFL,ADP,BMY,AFL,,"NOTE: These are not likely to be the actual dates you get paid! Each year the payment dates varies, however this is rough estimate of when the companies will pay out. It might be that you get paid multiple dividends on the same day. It's also the case that there are delays between Trading 212 receiving the dividend and paying it to us"
2,,LOW,GWW,KO,BMY,GWW,KO,,GWW,KO,LOW,GWW,,
3,WMT,,,WMT,,SHW,,LOW,,,PNR,SHW,,
4,KMB,GD,,KMB,LOW,,KMB,PNR,MSFT,KMB,,KO,,
5,CNQ,PNR,,CNQ,PNR,,CNQ,GD,WMT,CNQ,,MSFT,,
6,,,MSFT,,GD,MSFT,,,JNJ,,,JNJ,,
7,PEP,MA,JNJ,SLB,,JNJ,,MA,SHW,CB,MA,,,
8,CB,,AGNC,CB,MA,,CB,,EMR,,,EMR,,
9,,AGNC,IBM,,,AGNC,ADC,AGNC,IBM,,AGNC,AGNC,,
10,SLB,AAPL,CVX,,AGNC,IBM,SLB,NUE,PPG,,AAPL,IBM,,
11,AGNC,NUE,EMR,,NUE,CVX,ITW,AAPL,CVX,SLB,GD,,,
12,ITW,,PPG,AGNC,AAPL,PPG,AGNC,ADC,AGNC,AGNC,NUE,CVX,,
13,MAIN,ADC,SHW,ITW,O,EMR,CAH,PG,MAIN,ITW,ADC,PPG,,
14,O,PG,ADC,MAIN,MAIN,ADC,MAIN,MAIN,STAG,O,PG,ADC,,
15,CAH,O,O,O,ADC,O,O,O,O,MAIN,O,O,,
16,ADC,MAIN,MCD,ADC,PG,MAIN,ECL,STAG,MCD,ADC,MAIN,MCD,,
17,RGLD,STAG,MAIN,STAG,STAG,STAG,STAG,,ADC,RGLD,STAG,MAIN,,
18,ECL,,STAG,CAH,,DUK,,,DUK,CAH,,STAG,,
19,STAG,,DUK,ECL,,,RGLD,,,STAG,,DUK,,
20,,,,RGLD,,MCD,,,,ECL,,,,
21,,,,,,,,,ROP,,,,,
22,,,BLK,SYY,,,SYY,,,,C,,,
23,,C,,ROP,C,BLK,ROP,C,BLK,,,BLK,,
24,ROP,RY,,,RY,,,RY,,,RY,,,
25,GOOD,SBUX,,GOOD,BMO,,,BMO,,GOOD,SBUX,,,
26,CSCO,GOOD,,CSCO,,,CSCO,SBUX,,CSCO,,,,
27,BNS,LTC,,BNS,SBUX,GOOD,BNS,,GOOD,BNS,,,,
28,SYY,BMO,GOOD,TD,,TROW,GOOD,,TROW,SYY,BMO,,,
29,JPM,-,TROW,JPM,GOOD,PEP,TD,,PEP,TD,GOOD,TROW,,
30,TD,-,PEP,LTC,WMT,LTC,JPM,GOOD,LTC,JPM,LTC,GOOD,,
31,LTC,-,LTC,-,LTC,-,LTC,LTC,-,LTC,-,LTC,,